Comment,Designator,Footprint,LCSC,Quantity
4.7uH,L1,L_6.3x6.3_H3,C1034,1
10uF,"C13,C19,C6,C9",C_1206_3216Metric,C13585,4
MCP73812T-420I-OT,U9,SOT-23-5,C144308,1
DRV8833PWP,"U1,U2",HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,C1556089,2
USB 3.1 C 6PF,USBC1,USB-C-SMD_TYPE-C-USB-13,C168701,1
0.4R,"R6,R7",R_0603_1608Metric,C171375,2
Conn_01x02_Pin,,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,C173752,0
10k,R17,R_0603_1608Metric,C17414,1
47K,"R5,R8",R_0603_1608Metric,C17713,2
5R2,"R12,R14",R_0603_1608Metric,C17724,2
1R,"R3,R4",R_0603_1608Metric,C17928,2
0.01uF,"C1,C4",C_1206_3216Metric,C1846,2
1uF,"C10,C11,C12,C16,C17,C20,C23,C24,C25,C3,C8",C_1206_3216Metric,C1848,11
TPS613222ADBV,U8,SOT-23-3,C2071163,1
NMOS,Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20917,1
HUSB237-AA001-DN06R,U10,TDFN-6_L2.0-W2.0-P0.65-TL-EP,C22373734,1
TPS22918TDBVRQ1,"U3,U5,U7",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,C2653760,3
SW_Wuerth_450301014042,SW3,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,C2887259,1
4.7uF,"C21,C22",C_1206_3216Metric,C29823,2
2K,Rfastcharge1,R_0402_1005Metric,C4109,1
3K,R_normalcharging1,R_0603_1608Metric,C4211,1
75R,R20,R_0603_1608Metric,C4275,1
1k,"R1,R19",R_1206_3216Metric,C4410,2
62R,"R11,R13,R16",R_0603_1608Metric,C4962,3
0.001,R18,R_0603_1608Metric,C500734,1
2.2uF,"C2,C5",C_1206_3216Metric,C50254,2
AP2112K-3.3,U13,TSOT-23-5,C51118,1
INA219AIDCNR,U11,SOT-23-8,C87469,1
TestPoint_Small,TP38,TestPoint_Pad_1.0x1.0mm,,1
TestPoint_Small,TP37,TestPoint_Pad_1.0x1.0mm,,1
TestPoint_Small,TP36,TestPoint_Pad_1.0x1.0mm,,1
TestPoint_Small,TP30,TestPoint_Pad_1.0x1.0mm,,1
TestPoint_Small,TP29,TestPoint_Pad_1.0x1.0mm,,1
TestPoint_Small,TP26,TestPoint_Pad_1.0x1.0mm,,1
Conn_02x16_Odd_Even,,PinHeader_2x16_P2.54mm_Vertical,,0
