Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.01uF,C_1206_3216Metric,201.5,-75.0,180.0,top
C10,1uF,C_1206_3216Metric,141.975,-77.0,180.0,top
C11,1uF,C_1206_3216Metric,147.025,-59.5,0.0,top
C12,1uF,C_1206_3216Metric,155.5,-63.5,0.0,top
C13,10uF,C_1206_3216Metric,148.0,-78.0,0.0,top
C16,1uF,C_1206_3216Metric,162.5,-57.5,0.0,top
C17,1uF,C_1206_3216Metric,155.5,-71.5,0.0,top
C19,10uF,C_1206_3216Metric,169.6525,-50.675,0.0,top
C2,2.2uF,C_1206_3216Metric,183.475,-68.5,0.0,top
C20,22uF,C_1206_3216Metric,197.025,-64.0,180.0,top
C21,4.7uF,C_1206_3216Metric,144.0,-67.5,0.0,top
C22,4.7uF,C_1206_3216Metric,170.5,-57.0,0.0,top
C23,1uF,C_1206_3216Metric,177.0,-57.5,180.0,top
C24,1uF,C_1206_3216Metric,192.5,-53.0,0.0,top
C25,1uF,C_1206_3216Metric,151.0,-67.5,180.0,top
C3,10uF,C_1206_3216Metric,157.0,-50.5,0.0,top
C4,0.01uF,C_1206_3216Metric,137.0,-63.0,0.0,top
C5,2.2uF,C_1206_3216Metric,175.5,-70.0,0.0,top
C6,10uF,C_1206_3216Metric,135.5,-70.0,0.0,top
C8,1uF,C_1206_3216Metric,147.5,-63.5,0.0,top
C9,10uF,C_1206_3216Metric,136.0,-81.5,0.0,top
J1,Conn_02x16_Odd_Even,PinHeader_2x16_P2.54mm_Vertical,167.73,-101.77,-90.0,top
J3,Conn_01x02_Pin,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,200.05,-52.0,90.0,top
L1,4.7uH,L_6.3x6.3_H3,183.5,-53.0,180.0,top
Q2,NMOS,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,149.0,-83.0,0.0,top
R1,1k,R_1206_3216Metric,190.5,-72.5,0.0,top
R11,62R,R_0603_1608Metric,132.825,-76.0,0.0,top
R12,5R2,R_0603_1608Metric,142.325,-98.5,0.0,top
R13,62R,R_0603_1608Metric,143.5,-84.0,-90.0,top
R14,5R2,R_0603_1608Metric,150.325,-95.0,0.0,top
R16,62R,R_0603_1608Metric,148.5,-88.825,-90.0,top
R17,10k,R_0603_1608Metric,154.0,-77.0,0.0,top
R18,0.001,R_0603_1608Metric,198.0,-78.5,180.0,top
R19,1k,R_1206_3216Metric,190.0,-67.5,0.0,top
R20,75R,R_0603_1608Metric,145.675,-56.0,0.0,top
R3,1R,R_0603_1608Metric,174.4825,-50.255,0.0,top
R4,1R,R_0603_1608Metric,177.325,-92.0,0.0,top
R5,47K,R_0603_1608Metric,177.825,-77.0,0.0,top
R6,0.4R,R_0603_1608Metric,170.325,-64.0,0.0,top
R7,0.4R,R_0603_1608Metric,165.825,-71.0,0.0,top
R8,47K,R_0603_1608Metric,160.5,-73.0,0.0,top
R_normalcharging1,3K,R_0603_1608Metric,137.825,-88.5,0.0,top
Rfastcharge1,2K,R_0402_1005Metric,132.51,-85.5,0.0,top
SW3,SW_Wuerth_450301014042,SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm,203.5,-62.5,-90.0,top
U1,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,192.75,-85.5,0.0,top
U10,HUSB237-AA001-DN06R,TDFN-6_L2.0-W2.0-P0.65-TL-EP,145.5,-52.15,0.0,top
U11,INA219AIDCNR,SOT-23-8,183.5675,-77.3,0.0,top
U13,AP2112K-3.3,TSOT-23-5,190.1375,-62.45,0.0,top
U2,DRV8833PWP,HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm_Mask2.46x2.31mm_ThermalVias,169.8625,-83.775,0.0,top
U3,TPS22918TDBVRQ1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,138.15,-93.95,0.0,top
U5,TPS22918TDBVRQ1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,158.85,-79.55,0.0,top
U7,TPS22918TDBVRQ1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,156.5,-88.0,0.0,top
U8,TPS613222ADBV,SOT-23-3,181.8625,-62.5,0.0,top
U9,MCP73812T-420I-OT,SOT-23-5,149.0,-72.5,0.0,top
USBC1,USB 3.1 C 6PF,USB-C-SMD_TYPE-C-USB-13,137.33285,-53.0,-90.0,top
